@relation USER50_CURRENT_ATTRIBUTES_ONLY_Q57_28.02.2015.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C33-L3-3-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last

@attribute klind_en {administrator,other,parent,pupil,student,'teacher ucha.se',teacher}
@attribute has_personal_info_1_q2b_111 {0,1}
@attribute months_between_first_and_last_accessed_resource numeric
@attribute grade_calculated_from_user_data {0,1,2,3,4,5,6,7,8,9,10,11,12}
@attribute most_watched_subject_name_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute most_watched_subject_id {0,26,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,45,46,47,48}
@attribute one_of_the_fav_subjects_entered_by_the_user_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,French,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute number_of_distinct_accessed_subjects numeric
@attribute total_time_watched_videos_in_seconds numeric
@attribute total_number_of_exercises_attempts numeric
@attribute number_of_distinct_exercises numeric
@attribute number_of_all_accessed_resources numeric
@attribute percent_videos_completed numeric
@attribute percent_exercises_completed_with_75_points_or_more numeric
@attribute total_number_of_user_comments numeric
@attribute type_id_of_first_subscription {1,2,3,4,5,6,7,9,10,11}
@attribute type_name_of_first_subscription {'','1 month','12 months','15 days','3 days','3 months','6 months'}
@attribute percent_played____10s__videos_also_exercised_on numeric
@attribute percent_exercises_retaken numeric
@attribute percent_of_distinct_exercises_which_were_retaken numeric
@attribute number_of_distinct_accessed_grades numeric
@attribute percent_video_watched_more_than_once numeric
@attribute percent_distinct_video_watched_more_than_once numeric
@attribute percent_distinct_played____10s__videos_also_commented_om numeric
@attribute young_leader_badge {0,1}
@attribute motivation_level {0,1,2,3,4,5,6}
@attribute leadership_level {0,1,2,3,4,5,6}
@attribute leadership_1___number_of_user_comments_with_rating___3 numeric
@attribute charisma {0,1,2,3,4,6}
@attribute number_invited_friends numeric
@attribute influence {0,1,2,3,4,5,6}
@attribute class {no,yes}

@data
administrator,1,22,6,Biology,32,'',14,80301,101,70,342,53,30,1544,1,'3 days',5,49,26,10,20,9,24,1,6,6,655,3,8,3,no
pupil,1,9,1,Biology,32,Bulgarian,4,13108,0,0,31,29,0,5,3,'3 months',0,0,0,4,0,0,9,1,1,0,0,0,0,0,no
pupil,0,16,9,Physics,31,'',4,8290,0,0,23,48,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
pupil,1,18,6,'English Beginners',40,Biology,10,38099,13,11,116,55,8,0,3,'3 months',2,23,9,9,27,14,0,1,3,0,0,0,0,0,yes
other,0,20,0,'English Beginners',40,'',2,32366,0,0,83,58,0,0,3,'3 months',0,0,0,5,66,36,0,1,2,0,0,0,0,0,yes
pupil,1,17,8,Math,28,Chemistry,10,51001,25,10,160,55,12,4,3,'3 months',5,92,80,7,26,13,1,1,1,0,0,0,0,6,yes
pupil,1,13,7,Math,28,Physics,5,14392,0,0,30,23,0,219,3,'3 months',0,0,0,3,20,11,18,1,3,5,148,1,1,6,no
other,0,14,3,'English Beginners',40,'',5,44568,4,4,135,26,0,0,1,'3 days',5,0,0,3,56,34,0,1,1,0,0,0,0,0,no
parent,0,7,7,Biology,32,'',7,36915,0,0,98,58,0,0,2,'1 month',0,0,0,3,22,10,0,0,1,0,0,0,0,0,no
pupil,1,3,0,Physics,31,Physics,1,5285,0,0,14,79,0,1,1,'3 days',0,0,0,1,29,17,0,0,0,0,1,0,0,1,no
pupil,1,22,0,German,41,History,12,77935,0,0,240,15,0,0,2,'1 month',0,0,0,9,35,18,0,0,3,0,0,0,0,0,yes
pupil,0,12,9,Math,28,'',5,12859,0,0,38,11,0,3,2,'1 month',0,0,0,6,16,9,0,0,1,0,0,0,0,1,no
pupil,0,13,0,Chemistry,26,'',4,45659,0,0,74,64,0,14,1,'3 days',0,0,0,2,47,30,0,0,0,0,0,0,0,0,no
student,1,1,1,German,41,'',1,7203,0,0,17,82,0,0,2,'1 month',0,0,0,1,47,31,0,0,2,0,0,0,0,0,no
pupil,1,2,0,Geography,37,German,4,36668,0,0,103,60,0,0,3,'3 months',0,0,0,5,12,6,0,1,1,0,0,0,0,4,no
other,0,15,0,Chemistry,26,'',4,24207,0,0,73,18,0,0,1,'3 days',0,0,0,6,49,29,0,0,1,0,0,0,0,0,no
student,0,9,9,History,34,'',4,17149,0,0,50,38,0,0,1,'3 days',0,0,0,7,4,2,0,0,0,0,0,0,0,0,no
parent,0,17,7,Math,28,'',7,24598,3,2,79,41,0,1,2,'1 month',2,67,50,3,37,23,1,1,1,0,1,0,0,2,yes
student,0,11,0,'English Beginners',40,'',2,35828,0,0,72,78,0,0,3,'3 months',0,0,0,4,6,3,0,1,1,0,0,0,0,0,no
pupil,0,0,8,Math,28,'',1,170,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
other,1,18,0,'English Beginners',40,'',9,35738,0,0,95,60,0,1,3,'3 months',0,0,0,9,25,14,1,1,1,0,0,0,0,0,no
other,1,21,9,Chemistry,26,'',5,136935,9,5,304,15,33,0,2,'1 month',2,67,40,4,57,37,0,1,2,0,0,0,0,0,yes
pupil,0,17,0,Chemistry,26,'',6,72904,2,2,145,37,0,2,3,'3 months',2,0,0,3,41,24,0,1,1,0,2,0,0,0,yes
pupil,0,12,1,Math,28,'',2,1380,0,0,5,0,0,0,1,'3 days',0,0,0,2,60,33,0,0,1,0,0,0,0,0,no
parent,0,6,1,'English Beginners',40,'',4,13744,0,0,31,58,0,2,1,'3 days',0,0,0,5,35,20,0,0,1,0,2,0,0,2,no
student,0,2,0,'English Intermediate',30,'',1,1387,0,0,3,33,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
student,1,21,7,Fun,29,'',13,56303,0,0,139,71,0,140,3,'3 months',0,0,0,8,14,6,25,1,6,4,80,0,0,0,yes
pupil,0,13,0,Chemistry,26,'',7,25322,0,0,49,39,0,0,1,'3 days',0,0,0,3,16,9,0,0,0,0,0,1,1,0,no
pupil,0,21,0,History,34,'',11,318580,13,12,842,40,77,51,3,'3 months',2,15,8,9,76,51,5,1,5,2,16,0,0,0,no
pupil,1,21,8,Chemistry,26,Chemistry,15,164903,0,0,422,49,0,47,2,'1 month',0,0,0,10,19,10,1,0,3,2,31,0,0,6,no
pupil,0,3,0,Biology,32,'',2,32992,0,0,66,33,0,0,2,'1 month',0,0,0,3,26,14,0,0,0,0,0,0,0,0,no
administrator,1,22,9,Chemistry,35,'',11,13453,3,3,36,70,0,22,5,'',0,0,0,6,30,15,0,1,5,1,12,1,2,3,no
pupil,1,9,0,Chemistry,26,Physics,5,34771,0,0,82,41,0,0,3,'3 months',0,0,0,3,46,24,0,1,1,0,0,0,0,0,no
pupil,1,9,9,Chemistry,26,Chemistry,4,12250,0,0,28,11,0,0,3,'3 months',0,0,0,2,29,17,0,1,0,0,0,0,0,0,no
other,0,6,0,'English Intermediate',30,'',1,4440,0,0,10,0,0,1,2,'1 month',0,0,0,1,0,0,10,0,1,0,1,0,0,0,no
parent,0,12,9,History,34,'',2,1065,0,0,3,0,0,0,3,'3 months',0,0,0,1,0,0,0,1,0,0,0,0,0,0,no
student,1,19,2,Physics,31,'',9,33943,0,0,93,68,0,3,2,'1 month',0,0,0,10,18,10,0,0,1,0,2,1,1,1,no
pupil,1,9,7,Math,28,German,7,19983,0,0,62,69,0,10,3,'3 months',0,0,0,2,19,11,8,1,1,1,5,0,0,1,no
pupil,0,9,9,Chemistry,26,'',1,12005,0,0,24,25,0,0,2,'1 month',0,0,0,4,0,0,0,0,1,0,0,0,0,0,no
other,0,4,0,Biology,32,'',4,9512,0,0,24,33,0,0,3,'3 months',0,0,0,4,29,15,0,1,1,0,0,0,0,0,no
pupil,0,16,7,Geography,37,'',5,40343,5,5,118,38,40,0,1,'3 days',6,0,0,2,40,18,0,1,1,0,0,0,0,0,no
pupil,0,0,9,Chemistry,26,'',1,4569,0,0,6,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
student,1,14,1,Geography,37,'',10,20019,0,0,62,35,0,1,3,'3 months',0,0,0,6,58,33,0,1,2,0,1,0,0,2,no
parent,0,6,1,German,41,'',6,7024,0,0,19,37,0,4,2,'1 month',0,0,0,3,11,6,0,0,0,0,2,1,1,0,no
pupil,1,18,0,Math,28,Chemistry,6,19832,0,0,46,35,0,0,2,'1 month',0,0,0,4,13,7,0,0,1,0,0,1,1,0,no
teacher,0,6,2,'English Beginners',40,'',1,6307,0,0,17,65,0,0,1,'3 days',0,0,0,1,71,55,0,0,0,0,0,0,0,0,no
student,1,12,2,German,41,'',6,18306,0,0,47,68,0,1,3,'3 months',0,0,0,6,30,15,2,1,1,0,1,0,0,0,no
pupil,0,14,9,History,34,'',7,54341,3,3,157,15,67,9,3,'3 months',2,0,0,4,46,27,3,1,1,0,2,0,0,0,yes
pupil,0,20,0,'English Intermediate',30,'',7,11327,0,0,27,52,0,0,2,'1 month',0,0,0,3,22,13,0,0,0,0,0,0,0,0,no
pupil,1,18,7,Math,28,Math,8,19627,0,0,40,73,0,0,1,'3 days',0,0,0,5,0,0,0,0,1,0,0,0,0,2,no
pupil,1,18,0,Math,28,Chemistry,14,300357,10,10,649,67,30,9,3,'3 months',2,0,0,8,56,35,1,1,2,0,1,0,0,4,no
parent,0,11,8,German,41,'',6,3264,0,0,10,40,0,3,3,'3 months',0,0,0,4,0,0,0,1,1,0,3,0,0,0,no
pupil,0,6,8,Math,28,'',2,1698,0,0,7,0,0,14,1,'3 days',0,0,0,4,0,0,0,0,0,1,5,0,0,0,no
pupil,0,18,8,Math,28,'',7,34448,0,0,94,47,0,6,9,'15 days',0,0,0,3,49,27,4,0,1,0,2,0,0,0,yes
student,1,22,1,History,34,'',15,254439,3,3,639,66,67,57,1,'3 days',0,0,0,10,4,2,6,1,4,2,12,0,0,0,yes
pupil,0,17,0,Geography,37,'',5,14816,0,0,33,42,0,0,3,'3 months',0,0,0,2,12,6,0,1,1,0,0,0,0,0,no
pupil,0,18,9,Chemistry,26,'',6,132827,3,3,279,57,67,25,3,'3 months',1,0,0,5,45,27,5,1,2,0,0,0,0,0,yes
pupil,0,0,0,Physics,31,'',1,2734,0,0,5,60,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,14,0,Chemistry,26,Chemistry,5,33306,0,0,66,35,0,2,1,'3 days',0,0,0,2,6,3,1,0,0,0,1,0,0,1,no
other,0,7,0,Chemistry,26,'',3,63506,0,0,128,41,0,1,1,'3 days',0,0,0,4,41,23,0,0,1,0,1,0,0,0,no
pupil,1,0,8,Geography,37,Chemistry,1,452,0,0,1,100,0,0,3,'3 months',0,0,0,1,0,0,0,1,1,0,0,0,0,4,no
pupil,0,2,9,Chemistry,26,'',1,2386,0,0,6,17,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,21,0,Geography,37,'',11,123112,3,3,270,64,33,9,3,'3 months',1,0,0,8,40,24,0,1,2,0,2,0,0,3,no
pupil,0,0,7,Bulgarian,36,'',1,1281,0,0,4,50,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,1,1,0,no
pupil,1,8,7,Biology,32,Physics,7,21337,0,0,58,86,0,3,3,'3 months',0,0,0,1,10,5,5,1,1,0,0,0,0,0,no
pupil,0,22,9,Math,28,'',10,27567,0,0,83,28,0,0,2,'1 month',0,0,0,8,17,9,0,0,1,0,0,0,0,0,no
pupil,0,17,0,Geography,37,'',9,38499,29,21,176,6,24,7,2,'1 month',11,48,29,7,33,17,3,1,3,0,0,1,1,0,yes
pupil,0,8,8,Chemistry,26,'',3,6128,0,0,17,35,0,0,2,'1 month',0,0,0,3,24,13,0,0,0,0,0,0,0,0,no
pupil,0,9,6,Math,28,'',4,39065,0,0,104,43,0,0,5,'',0,0,0,9,47,29,0,1,0,0,0,0,0,0,no
pupil,1,6,7,History,34,'Person and nature',6,12053,0,0,38,71,0,1,3,'3 months',0,0,0,2,16,9,2,1,0,0,0,0,0,2,no
pupil,0,17,9,History,34,'',5,2571,0,0,7,29,0,0,1,'3 days',0,0,0,3,29,17,0,0,1,0,0,0,0,0,no
parent,0,19,6,Math,28,'',11,37394,7,4,129,42,0,5,3,'3 months',4,57,25,9,49,24,1,1,3,0,1,2,4,1,yes
parent,0,21,9,Biology,32,'',11,57977,1,1,137,75,0,6,3,'3 months',1,0,0,7,35,16,1,1,1,0,1,0,0,0,yes
student,0,21,8,History,34,'',11,217192,0,0,663,32,0,24,3,'3 months',0,0,0,9,54,32,4,1,3,1,11,0,0,0,no
pupil,1,16,9,Geography,37,Chemistry,9,77378,0,0,199,36,0,0,9,'15 days',0,0,0,4,23,11,0,0,3,0,0,1,1,0,yes
other,1,17,9,Chemistry,26,'',12,166746,7,6,539,12,86,92,7,'',2,29,17,10,74,47,9,1,3,0,1,0,0,1,yes
pupil,1,9,0,Math,28,Programming,11,28895,0,0,99,43,0,12,1,'3 days',0,0,0,4,33,19,7,0,2,0,2,0,0,0,no
pupil,1,20,1,Math,28,Chemistry,10,96372,0,0,293,53,0,2,3,'3 months',0,0,0,7,60,37,1,1,1,0,0,0,0,2,no
pupil,0,17,0,Chemistry,26,'',6,46388,1,1,103,41,0,0,3,'3 months',0,0,0,4,16,9,0,1,2,0,0,0,0,0,yes
pupil,0,4,0,Geography,37,'',3,2342,0,0,7,57,0,0,1,'3 days',0,0,0,2,29,17,0,0,1,0,0,0,0,0,no
pupil,0,7,0,History,34,'',1,2907,0,0,6,50,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,8,8,Math,28,'',2,6666,0,0,14,57,0,0,1,'3 days',0,0,0,2,14,8,0,0,1,0,0,0,0,0,no
pupil,0,6,9,Chemistry,26,'',2,4247,0,0,9,11,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
teacher,0,21,6,Chemistry,26,'',11,66950,18,13,222,31,89,0,3,'3 months',6,56,38,10,39,22,0,1,2,0,0,0,0,0,yes
pupil,0,8,9,Chemistry,26,'',6,48477,0,0,106,36,0,0,3,'3 months',0,0,0,3,31,18,0,1,2,0,0,0,0,0,no
pupil,1,12,0,History,34,Bulgarian,12,55763,0,0,180,41,0,10,3,'3 months',0,0,0,7,44,26,3,1,1,0,3,1,1,1,no
pupil,0,1,9,History,34,'',4,11304,0,0,26,54,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,9,0,Biology,32,'',4,18040,0,0,35,46,0,0,1,'3 days',0,0,0,1,11,6,0,0,1,0,0,0,0,0,no
pupil,0,3,0,History,34,'',3,6062,0,0,12,67,0,0,1,'3 days',0,0,0,2,17,9,0,0,0,0,0,0,0,0,no
teacher,0,16,8,Chemistry,35,'',1,1441,0,0,7,29,0,0,1,'3 days',0,0,0,1,29,17,0,0,1,0,0,0,0,0,no
pupil,0,21,9,Chemistry,26,'',5,41182,0,0,94,17,0,7,2,'1 month',0,0,0,7,12,6,4,0,2,0,1,0,0,0,no
pupil,0,0,9,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,0,9,0,Chemistry,26,'',5,24954,0,0,63,24,0,0,1,'3 days',0,0,0,2,29,17,0,0,1,0,0,0,0,0,yes
parent,0,1,7,'English Beginners',40,'',3,5706,0,0,15,93,0,0,3,'3 months',0,0,0,3,53,36,0,1,3,0,0,0,0,0,no
pupil,0,13,0,Chemistry,26,'',2,6114,0,0,12,42,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,0,0,0,no
pupil,1,17,8,Math,28,Chemistry,10,46851,0,0,125,54,0,12,3,'3 months',0,0,0,7,11,6,5,1,1,1,4,0,0,0,no
pupil,0,6,8,Physics,31,'',5,4312,0,0,15,7,0,0,2,'1 month',0,0,0,2,0,0,0,1,1,0,0,0,0,0,yes
pupil,1,18,0,History,34,German,12,108114,10,10,381,54,80,18,3,'3 months',3,0,0,10,48,29,4,1,1,1,6,1,1,3,yes
pupil,0,3,0,Math,28,'',2,2687,0,0,5,40,0,2,1,'3 days',0,0,0,2,0,0,0,0,0,0,2,0,0,0,no
pupil,0,11,0,Geography,37,'',4,6426,0,0,20,10,0,0,3,'3 months',0,0,0,2,10,5,0,1,0,0,0,0,0,0,no
pupil,0,7,0,'English Beginners',40,'',4,7937,0,0,19,100,0,0,1,'3 days',0,0,0,2,47,29,0,0,0,0,0,0,0,0,no
pupil,0,20,0,Chemistry,26,'',11,49520,0,0,162,9,0,48,1,'3 days',0,0,0,9,42,24,3,0,1,2,25,0,0,3,no
parent,0,8,7,Bulgarian,36,'',7,51231,0,0,147,45,0,0,3,'3 months',0,0,0,6,46,28,0,1,1,0,0,0,0,0,no
pupil,1,22,0,Math,28,Math,14,183304,0,0,358,58,0,35,2,'1 month',0,0,0,9,57,30,4,0,2,1,12,0,0,0,yes
pupil,0,13,9,Chemistry,26,'',3,24485,0,0,68,37,0,2,3,'3 months',0,0,0,4,32,18,0,1,1,0,1,0,0,0,no
pupil,0,1,0,Chemistry,26,'',5,2885,0,0,7,14,0,0,2,'1 month',0,0,0,3,0,0,0,0,1,0,0,0,0,0,no
pupil,1,16,0,Geography,37,History,9,114555,17,12,366,19,59,0,3,'3 months',4,59,42,7,56,32,0,1,2,0,0,0,0,0,yes
pupil,0,17,8,Math,28,'',6,31580,0,0,96,49,0,0,9,'15 days',0,0,0,5,30,17,0,0,1,0,0,0,0,0,no
parent,0,7,8,Chemistry,26,'',3,17220,0,0,47,21,0,1,3,'3 months',0,0,0,4,57,35,0,1,0,0,0,0,0,0,no
pupil,0,16,8,Math,28,'',11,60372,0,0,170,48,0,0,2,'1 month',0,0,0,7,29,15,0,1,1,0,0,0,0,0,no
